costoTotalItems,estado,lat,lon
79727,CHIAPAS,"14.880846","-92.2668838"
4312,"BAJA CALIFORNIA SUR","27.654033","-113.447395"
42471,"ESTADO DE MEXICO","19.660642","-99.1641387"
"174782.99","CIUDAD DE MEXICO","19.367185","-99.1624298"
100378,"CIUDAD DE MEXICO","19.477827","-99.2162170"
368442,PUEBLA,"19.069269","-98.1274185"
140701,"ESTADO DE MEXICO","19.433982","-98.9597244"
33342,YUCATAN,"40.416774","-3.70379018"
40716,"ESTADO DE MEXICO","19.310333","-99.5888595"
121963,CHIHUAHUA,"28.668714","-106.098190"
"179730.74","CIUDAD DE MEXICO","19.368242","-99.1110305"
12728,"CIUDAD DE MEXICO","19.379781","-99.2430953"
17448,"ESTADO DE MEXICO","19.543197","-99.1737518"
44030,JALISCO,"19.751117","-104.364639"
89444,"QUINTANA ROO","18.500188","-88.2961425"
"1001733.05","CIUDAD DE MEXICO","19.388044","-99.1857528"
111336,OAXACA,"15.820781","-96.0656585"
54504,"SAN LUIS POTOSI","22.002571","-99.0018386"
31500,VERACRUZ,"19.530748","-96.9102630"
3829,SONORA,"29.122386","-111.005241"
15553,"BAJA CALIFORNIA","32.612594","-115.492805"
268662,TAMAULIPAS,"26.373125","-97.9716720"
217446,SINALOA,"31.700820","-106.416267"
32886,"NUEVO LEON","25.966211","-100.290863"
171688,OAXACA,"41.648822","-0.88908529"
496264,YUCATAN,"21.005784","-89.6973648"
1121,JALISCO,"20.223438","-103.552513"
9211,COAHUILA,"25.552936","-103.446121"
76083,"ESTADO DE MEXICO","19.337011","-98.9344635"
69584,GUANAJUATO,"20.51936","-100.8042"
3397,"SAN LUIS POTOSI","22.184291","-100.949050"
112595,SONORA,"29.012058","-110.926261"
69526,"NUEVO LEON","25.741395","-100.140914"
"120090.8",JALISCO,"20.639707","-103.311843"
9594,"SAN LUIS POTOSI","23.647071","-100.660133"
30533,PUEBLA,"19.284383","-98.4348754"
38566,SONORA,"31.280763","-110.969665"
77913,GUANAJUATO,"20.525510","-100.775299"
42946,"ESTADO DE MEXICO","19.405111","-99.0381546"
59119,"CIUDAD DE MEXICO","19.457485","-99.2106781"
"641704.49","QUINTANA ROO","21.14332","-86.923693"
85130,"ESTADO DE MEXICO","19.615997","-99.1686248"
12730,"ESTADO DE MEXICO","19.317850","-99.6035156"
112789,VERACRUZ,"18.134477","-94.4589843"
23601,VERACRUZ,"19.195732","-96.1533584"
248725,TAMAULIPAS,"26.048395","-98.3671722"
61872,TAMAULIPAS,"25.827814","-97.5650100"
57790,"ESTADO DE MEXICO","19.272926","-98.9122924"
23398,"CIUDAD DE MEXICO","19.293142","-99.1604843"
17175,"CIUDAD DE MEXICO","19.455101","-99.1269378"
"53707.43",TABASCO,"15.770288","-86.7919006"
95232,CAMPECHE,"18.659364","-91.7908630"
1648,NAYARIT,"22.498344","-105.360687"
3153,VERACRUZ,"17.960731","-94.9109878"
100287,JALISCO,"19.751117","-104.364639"
23410,"CIUDAD DE MEXICO","19.298187","-99.0536499"
19615,"BAJA CALIFORNIA SUR","24.130905","-110.320083"
12764,TABASCO,"18.194601","-92.9947967"
44382,"NUEVO LEON","25.70375","-100.3166"
25686,"ESTADO DE MEXICO","19.48421","-99.04929"
